Sl. No.,station,Start_Date,end_date,Latitude,Longitude
1,J60,09-01-2024,23-02-2024,3219882.041,382067.4448
2,J79,09-01-2024,23-02-2024,3221047.609,382630.2488
3,J27,09-01-2024,23-02-2024,3217304.691,383450.5292
4,J44,09-01-2024,23-02-2024,3218542.63,383657.7813
5,J61,09-01-2024,23-02-2024,3219351.407,383785.7035
6,J14,10-01-2024,20-02-2024,3216045.871,386653.4546
7,J30,10-01-2024,10-03-2024,3217863.002,387127.9336
8,J64,10-01-2024,10-03-2024,3219922.759,387271.8095
9,J47,10-01-2024,10-03-2024,3219095.855,387406.7531
10,J13,10-01-2024,01-03-2024,3216531.887,385472.4984
11,J28,10-01-2024,20-02-2024,3216939.741,384692.9039
12,J46,10-01-2024,29-02-2024,3218823.791,386788.9379
13,J63,10-01-2024,29-02-2024,3219852.569,386076.9501
14,J62,10-01-2024,01-03-2024,3219711.28,385354.3608
15,J45,10-01-2024,29-02-2024,3218663.705,384616.7911
16,D104,11-01-2024,12-03-2024,3222268.452,388773.8969
17,J84,11-01-2024,12-03-2024,3222051.574,389657.2615
18,J85,11-01-2024,12-03-2024,3222208.812,390130.6956
19,J105,11-01-2024,12-03-2024,3223062.696,390530.0167
20,J82,11-01-2024,09-03-2024,3221877.23,386295.587
21,J81,11-01-2024,10-03-2024,3221144.254,384790.651
22,J80,11-01-2024,10-03-2024,3221867.424,384068.1129
23,J83,11-01-2024,10-03-2024,3222200.539,388010.3769
24,J48,12-01-2024,20-02-2024,3218383.923,388592.1302
25,J31,12-01-2024,23-02-2024,3217091.782,388596.1285
26,J16,12-01-2024,19-02-2024,3215819.218,388638.2946
27,J1,12-01-2024,20-02-2024,3214958.635,389625.0141
28,J3,12-01-2024,20-02-2024,3214854.308,392090.2633
29,J2,12-01-2024,20-02-2024,3214902.289,390649.7234
30,J15,12-01-2024,20-02-2024,3215937.001,387808.9837
31,J32,12-01-2024,23-02-2024,3216711.734,391014.4959
32,J50,12-01-2024,22-02-2024,3218563.303,392318.8296
33,J67,12-01-2024,22-02-2024,3219637.319,392530.3767
34,J49,12-01-2024,22-02-2024,3218512.022,391060.7991
35,J17,14-01-2024,20-02-2024,3215725.968,390964.2445
36,J18,14-01-2024,01-03-2024,3215725.447,391721.6792
37,J65,14-01-2024,11-03-2024,3220150.655,388216.1212
38,J29,14-01-2024,13-03-2024,3217464.865,386373.4897
39,J4,16-01-2024,20-02-2024,3214824.362,393756.8579
40,J5,16-01-2024,20-02-2024,3214768.45,395137.9372
41,J6,16-01-2024,20-02-2024,3215107.344,396748.4559
42,J22,16-01-2024,20-02-2024,3215678.378,397450.6555
43,J21,16-01-2024,20-02-2024,3215292.305,396389.8917
44,J19,16-01-2024,22-02-2024,3215294.215,393516.8319
45,J7,17-01-2024,25-02-2024,3214597.023,398304.6169
46,J37,17-01-2024,25-02-2024,3217084.328,398350.0136
47,J38,17-01-2024,07-03-2024,3216949.408,398695.3628
48,J23,17-01-2024,07-03-2024,3215779.869,398624.6789
49,J8,17-01-2024,01-03-2024,3214359.294,399378.4038
50,J20,21-01-2024,22-02-2024,3216324,394319.7962
51,J34,21-01-2024,22-02-2024,3217386.622,394087.2011
52,J51,21-01-2024,22-02-2024,3218108.073,394200.932
53,J68,21-01-2024,22-02-2024,3220150.867,392952.6911
54,J87,21-01-2024,22-02-2024,3221063.675,392984.5733
55,J35,21-01-2024,22-02-2024,3217412.423,394534.2379
56,J52,21-01-2024,22-02-2024,3218647.283,395215.2301
57,J69,21-01-2024,22-02-2024,3219690.309,394821.8494
58,J70,21-01-2024,22-02-2024,3219928.777,395768.0416
59,J54,24-01-2024,25-02-2024,3218667.612,397626.2859
60,J53,24-01-2024,25-02-2024,3219004.568,396751.4043
61,J90,24-01-2024,01-03-2024,3222056.699,397204.1087
62,J89,24-01-2024,27-02-2024,3221794.021,396963.3575
63,J71,24-01-2024,25-02-2024,3220226.577,397148.7587
64,J33,25-01-2024,23-02-2024,3216863.539,391717.8141
65,N167,22-02-2024,06-04-2024,3228201.896,374611.8316
66,N166,22-02-2024,07-04-2024,3228600.947,373597.9424
67,N152,22-02-2024,04-04-2024,3227299.145,374469.6439
68,N136,22-02-2024,06-04-2024,3226217.444,374880.916
69,N151,22-02-2024,03-04-2024,3227171.854,372652.248
70,N135,22-02-2024,03-04-2024,3225557.353,373734.5266
71,N165,22-02-2024,03-04-2024,3228175.221,371822.1257
72,N137,24-02-2024,06-04-2024,3226148.076,375652.5293
73,N153,25-02-2024,04-04-2024,3227878.345,375927.1458
74,N154,25-02-2024,04-04-2024,3227127.922,377483.054
75,N139,25-02-2024,04-04-2024,3226037.146,378654.2375
76,N168,25-02-2024,04-04-2024,3228049.282,376618.5712
77,N138,26-02-2024,04-04-2024,3225815.254,378260.8278
78,N142,26-02-2024,07-04-2024,3225424.322,383122.5966
79,N121,26-02-2024,07-04-2024,3224619.389,383486.9753
80,N122,26-02-2024,07-04-2024,3224497.308,384378.8183
81,N143,26-02-2024,07-04-2024,3225175.146,384744.6318
82,N120,26-02-2024,07-04-2024,3225085.416,381487.7176
83,N141,26-02-2024,07-04-2024,3225425.428,382150.7929
84,N119,26-02-2024,07-04-2024,3225094.619,380390.4678
85,N140,26-02-2024,07-04-2024,3225582.491,380153.3457
86,N118,26-02-2024,04-04-2024,3224867.805,379300.4523
87,D145,03-03-2024,14-04-2024,3225543.767,389157.8599
88,D126,03-03-2024,13-04-2024,3224976.478,390298.3146
89,D102,03-03-2024,13-04-2024,3223549.549,386063.1232
90,D101,03-03-2024,13-04-2024,3223593.073,385256.0247
91,D123,03-03-2024,13-04-2024,3224230.966,386967.8676
92,D162,04-03-2024,14-04-2024,3227021.819,392548.1366
93,D146,04-03-2024,08-04-2024,3226035.266,391057.4487
94,D161,04-03-2024,13-04-2024,3226951.694,391291.8285
95,D125,04-03-2024,13-04-2024,3224628.643,388565.2957
96,D124,04-03-2024,13-04-2024,3224050.466,388422.4891
97,D103,04-03-2024,13-04-2024,3223567.364,388076.284
98,D109,06-03-2024,14-04-2024,3223241.439,396940.3839
99,S110,06-03-2024,14-04-2024,3223024.643,397142.7474
100,D108,06-03-2024,08-05-2024,3223220.474,394859.1235
101,D107,06-03-2024,08-05-2024,3222848.815,393945.0235
102,D106,06-03-2024,08-05-2024,3223279.41,392805.8276
103,D130,06-03-2024,14-04-2024,3224800.726,396066.2762
104,D129,06-03-2024,14-04-2024,3224919.737,395046.9164
105,D128,06-03-2024,14-04-2024,3225111.837,393923.1919
106,D127,06-03-2024,14-04-2024,3225118.092,392658.6522
107,D147,06-03-2024,13-04-2024,3225286.741,391812.963
108,D149,06-03-2024,14-04-2024,3226282.935,395026.3546
109,S41,09-04-2024,10-05-2024,3217269.02,403789.0779
110,S26,09-04-2024,10-05-2024,3216361.009,403187.6469
111,S25,09-04-2024,10-05-2024,3215643.136,401732.971
112,S24,09-04-2024,10-05-2024,3215656.697,400544.3958
113,S55,09-04-2024,10-05-2024,3218560.035,399515.4798
114,S9,09-04-2024,10-05-2024,3214665.932,400048.0261
115,S10,09-04-2024,10-05-2024,3214320.829,402554.1231
116,S58,09-04-2024,10-05-2024,3218885.521,403681.954
117,S75,09-04-2024,10-05-2024,3220136.985,403368.4101
118,S39,10-04-2024,12-05-2024,3217537.285,400784.5713
119,S56,10-04-2024,12-05-2024,3219038.852,401159.6114
120,S73,10-04-2024,12-05-2024,3219545.185,401167.8698
121,S40,10-04-2024,12-05-2024,3216758.282,401428.0962
122,S57,10-04-2024,12-05-2024,3218026.875,401837.0907
123,S94,11-04-2024,11-05-2024,3221629.455,402991.7875
124,S93,11-04-2024,11-05-2024,3222138.334,402179.7644
125,S114,11-04-2024,11-05-2024,3222832.672,403406.7156
126,S113,11-04-2024,11-05-2024,3223653.788,402751.1313
127,S131,11-04-2024,11-05-2024,3224438.924,397478.4295
