,station,Species,Individual,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,D101,experiment,T18,28-03-2024 07:27,28-03-2024,07:27:22,0,0,0,0,experiment/D101/T18,D101_A_I__00041.JPG,1
2,D101,experiment,T25,28-03-2024 07:27,28-03-2024,07:27:24,0,0,0,0,experiment/D101/T25,D101_A_I__00042.JPG,1
3,D102,experiment,T25,03-04-2024 15:56,03-04-2024,15:56:24,0,0,0,0,experiment/D102/T25,D102_B_I__01685.JPG,3
4,D102,experiment,T7,12-03-2024 06:53,12-03-2024,06:53:28,0,0,0,0,experiment/D102/T7,D102_B_I__00060.JPG,1
5,D102,experiment,T7,21-03-2024 07:59,21-03-2024,07:59:34,781566,13026.1,217.1,9,experiment/D102/T7,D102_B_I__00170.JPG,2
6,D103,experiment,T7,11-03-2024 18:17,11-03-2024,18:17:00,0,0,0,0,experiment/D103/T7,D103_B_I__00116.JPG,5
7,D103,experiment,T7,13-03-2024 06:09,13-03-2024,06:09:42,129162,2152.7,35.9,1.5,experiment/D103/T7,D103_B_I__00140.JPG,1
8,D103,experiment,T7,20-03-2024 20:04,20-03-2024,20:04:56,654914,10915.2,181.9,7.6,experiment/D103/T7,D103_B_I__00193.JPG,2
9,D103,experiment,T9,09-03-2024 11:07,09-03-2024,11:07:54,0,0,0,0,experiment/D103/T9,D103_A_I__00877.JPG,4
10,D103,experiment,T9,16-03-2024 02:47,16-03-2024,02:47:42,574788,9579.8,159.7,6.7,experiment/D103/T9,D103_B_I__00174.JPG,1
11,D104,experiment,T7,02-03-2024 08:38,02-03-2024,08:38:19,0,0,0,0,experiment/D104/T7,D104_A_I__00381.JPG,2
12,D106,experiment,T13,06-04-2024 17:08,06-04-2024,17:08:10,0,0,0,0,experiment/D106/T13,D106_B_I__00338.JPG,4
13,D106,experiment,T6,15-04-2024 20:44,15-04-2024,20:44:44,0,0,0,0,experiment/D106/T6,D106_B_I__00381.JPG,1
14,D106,experiment,T6,15-04-2024 20:46,15-04-2024,20:46:00,76,1.3,0,0,experiment/D106/T6,D106_A_I__00648.JPG,1
